field_1,﻿recid,location,event,eventType,xcoord,ycoord,dt,_date,_time,lon,lat
0,468,300 BLOCK OF SHIRLEY AVENUE,Nicole (9/30/2010),Flooded street,12129258.717,3481752.75739,2010-09-30 07:32:47.000,9/30/2010 ,1900-01-01 07:32:00.000,-76.290425,36.864399
1,469,LLEWELLYN AVENUE & SHIRLEY AVENUE,Nicole (9/30/2010),Flooded street,12129725,3481565.87505,2010-09-30 07:33:19.000,9/30/2010 ,1900-01-01 07:33:00.000,-76.288847,36.863856
2,470,LLEWELLYN AVENUE & W PRINCESS ANNE ROAD,Nicole (9/30/2010),Flooded street,12129374.5,3480689.37508,2010-09-30 07:33:48.000,9/30/2010 ,1900-01-01 07:33:00.000,-76.290115,36.861472
3,471,900 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133924.7554,3478090.12612,2010-09-30 08:29:00.000,9/30/2010 ,1900-01-01 08:29:00.000,-76.274775,36.854041
4,472,CAMPOSTELLA ROAD & E BRAMBLETON AVENUE,Nicole (9/30/2010),Flooded street,12136382,3474442.62495,2010-09-30 08:29:38.000,9/30/2010 ,1900-01-01 08:29:00.000,-76.266674,36.843867
5,473,2800 BLOCK OF E VIRGINIA BEACH BOULEVARD,Nicole (9/30/2010),Flooded street,12140004.5,3477601.87489,2010-09-30 08:30:29.000,9/30/2010 ,1900-01-01 08:30:00.000,-76.254041,36.852305
6,474,3500 BLOCK OF SEWELLS POINT ROAD,Nicole (9/30/2010),Flooded street,12144911.2203,3490053.95509,2010-09-30 08:31:16.000,9/30/2010 ,1900-01-01 08:31:00.000,-76.236256,36.886175
7,475,E LITTLE CREEK ROAD & GALVESTON BOULEVARD,Nicole (9/30/2010),Flooded street,12137154.5001,3501490.75002,2010-09-30 08:31:41.000,9/30/2010 ,1900-01-01 08:31:00.000,-76.261843,36.918086
8,476,4TH VIEW STREET & W OCEAN VIEW AVENUE,Nicole (9/30/2010),Flooded street,12137042,3516670.00002,2010-09-30 08:32:02.000,9/30/2010 ,1900-01-01 08:32:00.000,-76.260997,36.959773
9,477,300 BLOCK OF E LITTLE CREEK ROAD,Nicole (9/30/2010),Flooded street,12136613.5334,3501468.00149,2010-09-30 08:32:30.000,9/30/2010 ,1900-01-01 08:32:00.000,-76.263695,36.918059
10,478,E LITTLE CREEK ROAD & SAN ANTONIO BOULEVARD,Nicole (9/30/2010),Flooded street,12136058.0001,3501211.24988,2010-09-30 08:33:08.000,9/30/2010 ,1900-01-01 08:33:00.000,-76.265616,36.917390
11,479,ALEXANDER STREET & STRAND STREET,Nicole (9/30/2010),Flooded street,12144692.9999,3492905.4999,2010-09-30 08:34:21.000,9/30/2010 ,1900-01-01 08:34:00.000,-76.236768,36.894019
12,480,300 BLOCK OF SAN ANTONIO BOULEVARD,Nicole (9/30/2010),Flooded street,12136558.3413,3500698.53181,2010-09-30 08:35:57.000,9/30/2010 ,1900-01-01 08:35:00.000,-76.263946,36.915950
13,481,400 BLOCK OF SAN ANTONIO BOULEVARD,Nicole (9/30/2010),Flooded street,12137495.8098,3500613.63634,2010-09-30 08:36:09.000,9/30/2010 ,1900-01-01 08:36:00.000,-76.260747,36.915656
14,482,1100 BLOCK OF GEORGETOWN ROAD,Nicole (9/30/2010),Flooded street,12154904.0707,3480753.89613,2010-09-30 08:36:28.000,9/30/2010 ,1900-01-01 08:36:00.000,-76.202871,36.859976
15,483,E BRAMBLETON AVENUE & SAINT PAULS BOULEVARD,Nicole (9/30/2010),Flooded street,12130816.9999,3477971.62508,2010-09-30 08:37:22.000,9/30/2010 ,1900-01-01 08:37:00.000,-76.285403,36.853917
16,484,BOUSH STREET & W OLNEY ROAD,Nicole (9/30/2010),Flooded street,12129207,3478802.50015,2010-09-30 08:38:08.000,9/30/2010 ,1900-01-01 08:38:00.000,-76.290838,36.856302
