,location,eventType,dt,event_name,event_date,dates
0,300 BLOCK OF SHIRLEY AVENUE,Flooded street,2010-09-30 07:32:47,Nicole-2010-09-30,2010-09-30,2010-09-30
1,LLEWELLYN AVENUE & SHIRLEY AVENUE,Flooded street,2010-09-30 07:33:19,Nicole-2010-09-30,2010-09-30,2010-09-30
2,LLEWELLYN AVENUE & W PRINCESS ANNE ROAD,Flooded street,2010-09-30 07:33:48,Nicole-2010-09-30,2010-09-30,2010-09-30
3,900 BLOCK OF TIDEWATER DRIVE,Flooded street,2010-09-30 08:29:00,Nicole-2010-09-30,2010-09-30,2010-09-30
4,CAMPOSTELLA ROAD & E BRAMBLETON AVENUE,Flooded street,2010-09-30 08:29:38,Nicole-2010-09-30,2010-09-30,2010-09-30
5,2800 BLOCK OF E VIRGINIA BEACH BOULEVARD,Flooded street,2010-09-30 08:30:29,Nicole-2010-09-30,2010-09-30,2010-09-30
6,3500 BLOCK OF SEWELLS POINT ROAD,Flooded street,2010-09-30 08:31:16,Nicole-2010-09-30,2010-09-30,2010-09-30
7,E LITTLE CREEK ROAD & GALVESTON BOULEVARD,Flooded street,2010-09-30 08:31:41,Nicole-2010-09-30,2010-09-30,2010-09-30
8,4TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2010-09-30 08:32:02,Nicole-2010-09-30,2010-09-30,2010-09-30
9,300 BLOCK OF E LITTLE CREEK ROAD,Flooded street,2010-09-30 08:32:30,Nicole-2010-09-30,2010-09-30,2010-09-30
10,E LITTLE CREEK ROAD & SAN ANTONIO BOULEVARD,Flooded street,2010-09-30 08:33:08,Nicole-2010-09-30,2010-09-30,2010-09-30
11,ALEXANDER STREET & STRAND STREET,Flooded street,2010-09-30 08:34:21,Nicole-2010-09-30,2010-09-30,2010-09-30
12,300 BLOCK OF SAN ANTONIO BOULEVARD,Flooded street,2010-09-30 08:35:57,Nicole-2010-09-30,2010-09-30,2010-09-30
13,400 BLOCK OF SAN ANTONIO BOULEVARD,Flooded street,2010-09-30 08:36:09,Nicole-2010-09-30,2010-09-30,2010-09-30
14,1100 BLOCK OF GEORGETOWN ROAD,Flooded street,2010-09-30 08:36:28,Nicole-2010-09-30,2010-09-30,2010-09-30
15,E BRAMBLETON AVENUE & SAINT PAULS BOULEVARD,Flooded street,2010-09-30 08:37:22,Nicole-2010-09-30,2010-09-30,2010-09-30
16,BOUSH STREET & W OLNEY ROAD,Flooded street,2010-09-30 08:38:08,Nicole-2010-09-30,2010-09-30,2010-09-30
17,E BRAMBLETON AVENUE & I-264W HIGHWAY,Flooded street,2010-09-30 08:39:10,Nicole-2010-09-30,2010-09-30,2010-09-30
18,BALDWIN AVENUE & STOCKLEY GARDENS,Flooded street,2010-09-30 08:39:33,Nicole-2010-09-30,2010-09-30,2010-09-30
19,CHURCH STREET & GOFF STREET,Flooded street,2010-09-30 09:00:26,Nicole-2010-09-30,2010-09-30,2010-09-30
20,CHURCH STREET & E PRINCESS ANNE ROAD,Flooded street,2010-09-30 09:00:45,Nicole-2010-09-30,2010-09-30,2010-09-30
21,E PRINCESS ANNE ROAD & MONTICELLO AVENUE,Flooded street,2010-09-30 09:01:50,Nicole-2010-09-30,2010-09-30,2010-09-30
22,DEBREE AVENUE & W PRINCESS ANNE ROAD,Flooded street,2010-09-30 09:11:32,Nicole-2010-09-30,2010-09-30,2010-09-30
23,E PRINCESS ANNE ROAD & INGLESIDE ROAD,Flooded street,2010-09-30 09:12:59,Nicole-2010-09-30,2010-09-30,2010-09-30
24,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2010-09-30 09:14:08,Nicole-2010-09-30,2010-09-30,2010-09-30
25,GOSNOLD AVENUE & W 26TH STREET,Flooded street,2010-09-30 09:17:22,Nicole-2010-09-30,2010-09-30,2010-09-30
26,MUNSON STREET & W 26TH STREET,Flooded street,2010-09-30 09:17:39,Nicole-2010-09-30,2010-09-30,2010-09-30
27,NEWPORT AVENUE & W 26TH STREET,Flooded street,2010-09-30 09:17:53,Nicole-2010-09-30,2010-09-30,2010-09-30
