Datetime,WDF2-19,WDF2-20,WSF2-19,WSF2-20,AWDR-19,AWND-19,AWND-20,WGF6-18,AWND-18,AWDR-18,AWND-3,AWDR-3,ht-17,ht-18,hht-17,hht-18,lt-17,lt-18,llt-17,llt-18,r15-1_td-17,r15-1_td-18,r15-2_td-17,r15-2_td-18,r15-7_td-17,r15-7_td-18,r15-11_td-17,r15-11_td-18,r15-12_td-17,r15-12_td-18,r15-13_td-17,r15-13_td-18,r15-14_td-17,r15-14_td-18,r15-15_td-17,r15-15_td-18,r15-16_td-17,r15-16_td-18,r15-21_td-17,r15-21_td-18,rhr-1_td-17,rhr-1_td-18,rhr-2_td-17,rhr-2_td-18,rhr-7_td-17,rhr-7_td-18,rhr-11_td-17,rhr-11_td-18,rhr-12_td-17,rhr-12_td-18,rhr-13_td-17,rhr-13_td-18,rhr-14_td-17,rhr-14_td-18,rhr-15_td-17,rhr-15_td-18,rhr-16_td-17,rhr-16_td-18,rhr-21_td-17,rhr-21_td-18,td_av-17,td_av-18,gw_av-4,gw_av-5,gw_av-6,gw_av-8,gw_av-9,gw_av-10,gw_av-11,r15mx-1,r15mx-2,r15mx-7,r15mx-11,r15mx-12,r15mx-13,r15mx-14,r15mx-15,r15mx-16,r15mx-21,rhrmx-1,rhrmx-2,rhrmx-7,rhrmx-11,rhrmx-12,rhrmx-13,rhrmx-14,rhrmx-15,rhrmx-16,rhrmx-21,rd-19,rd-20,rd-1,rd-2,rd-7,rd-11,rd-12,rd-13,rd-14,rd-15,rd-16,rd-21,r3d-19,r3d-20,r3d-1,r3d-2,r3d-7,r3d-11,r3d-12,r3d-13,r3d-14,r3d-15,r3d-16,r3d-21
2010-09-15,140.0,110.0,13.0,15.0,119.0,5.1,5.6,,,,,,1.463,1.631,1.837,1.988,-0.469,-0.699,-0.486,-0.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6429875,0.617666666667,-2.11264305556,1.13243888889,5.57553472222,3.25156805556,-0.0884888888889,0.852905555556,1.4650625,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.56819002228e-15,-7.32053306862e-16,3.64291929955e-16,-3.29597460436e-16,-9.76649316975e-16,-7.6327832943e-17,-1.04083408559e-16,-9.12464548364e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.22,0.0,0.0,0.22,0.24,0.26,0.22,0.31,0.24,0.36,0.24
2010-09-16,220.0,200.0,25.9,19.9,210.0,15.2,9.6,,,,,,1.155,1.286,1.421,1.483,-0.741,-0.984,-1.043,-1.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341333333333,0.294654166667,-2.13735,1.1118875,5.53014861111,3.27933055556,-0.129758333333,0.852166666667,1.46358472222,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.56819002228e-15,-7.32053306862e-16,3.64291929955e-16,-3.29597460436e-16,-9.76649316975e-16,-7.6327832943e-17,-1.04083408559e-16,-9.12464548364e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66533453694e-16,1.38777878078e-16,0.0,0.0,0.01,-3.05311331772e-16,-2.22044604925e-16,-3.60822483003e-16,3.33066907388e-16,-1.11022302463e-15,-1.55431223448e-15,-5.55111512313e-17
2010-09-17,220.0,200.0,21.0,16.1,41.0,11.0,9.4,,,,,,0.8235,0.9495,,,,,-1.086,-1.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0223166666667,-0.0443958333333,-2.13381111111,1.08001944444,5.51805416667,3.25177916667,-0.150366666667,0.85335,1.41649722222,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.56819002228e-15,-7.32053306862e-16,3.64291929955e-16,-3.29597460436e-16,-9.76649316975e-16,-7.6327832943e-17,-1.04083408559e-16,-9.12464548364e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66533453694e-16,1.38777878078e-16,0.0,0.0,-1.35134958779e-15,-3.05311331772e-16,-2.22044604925e-16,-3.60822483003e-16,3.33066907388e-16,-1.11022302463e-15,-1.55431223448e-15,-5.55111512313e-17
2010-09-18,30.0,30.0,16.1,18.1,37.0,8.5,9.4,,,,,,,,1.544,1.7275,-0.764,-0.909,-0.577,-0.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515783333333,0.519370833333,-2.14267777778,1.01543611111,5.48779166667,3.18600972222,-0.158165277778,0.852794444444,1.37066388889,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.56819002228e-15,-7.32053306862e-16,3.64291929955e-16,-3.29597460436e-16,-9.76649316975e-16,-7.6327832943e-17,-1.04083408559e-16,-9.12464548364e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66533453694e-16,1.38777878078e-16,0.0,0.0,-1.35134958779e-15,-3.05311331772e-16,-2.22044604925e-16,-3.60822483003e-16,3.33066907388e-16,-1.11022302463e-15,-1.55431223448e-15,-5.55111512313e-17
2010-09-19,40.0,10.0,10.1,12.1,58.0,4.3,4.7,,,,,,1.634,1.821,1.932,2.103,-0.44,-0.587,-0.341,-0.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7386125,0.720283333333,-2.15441111111,0.994669444444,5.46868194444,3.210425,-0.1842875,0.852651388889,1.37203611111,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.56819002228e-15,-7.32053306862e-16,3.64291929955e-16,-3.29597460436e-16,-9.76649316975e-16,-7.6327832943e-17,-1.04083408559e-16,-9.12464548364e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66533453694e-16,1.38777878078e-16,0.0,0.0,-1.35134958779e-15,-3.05311331772e-16,-2.22044604925e-16,-3.60822483003e-16,3.33066907388e-16,-1.11022302463e-15,-1.55431223448e-15,-5.55111512313e-17
2010-09-20,20.0,10.0,21.9,23.0,29.0,9.4,11.0,,,,,,1.834,1.959,2.264,2.451,-0.1245,-0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03224583333,1.03693333333,-2.1647125,0.983343055556,5.45598055556,3.20011527778,-0.208969444444,0.8534375,1.36096388889,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.56819002228e-15,-7.32053306862e-16,3.64291929955e-16,-3.29597460436e-16,-9.76649316975e-16,-7.6327832943e-17,-1.04083408559e-16,-9.12464548364e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66533453694e-16,1.38777878078e-16,0.0,0.0,-1.35134958779e-15,-3.05311331772e-16,-2.22044604925e-16,-3.60822483003e-16,3.33066907388e-16,-1.11022302463e-15,-1.55431223448e-15,-5.55111512313e-17
2010-09-21,150.0,120.0,14.1,14.1,79.0,7.4,6.7,,,,,,1.995,2.142,1.916,2.034,-0.41,-0.643,-0.125,-0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85605,0.831066666667,-2.17578333333,0.912413888889,5.42263888889,3.097975,-0.236613888889,0.852983333333,1.32551666667,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.56819002228e-15,-7.32053306862e-16,3.64291929955e-16,-3.29597460436e-16,-9.76649316975e-16,-7.6327832943e-17,-1.04083408559e-16,-9.12464548364e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66533453694e-16,1.38777878078e-16,0.0,0.0,-1.35134958779e-15,-3.05311331772e-16,-2.22044604925e-16,-3.60822483003e-16,3.33066907388e-16,-1.11022302463e-15,-1.55431223448e-15,-5.55111512313e-17
2010-09-22,220.0,220.0,21.0,15.0,209.0,11.4,8.5,,,,,,1.352,1.467,1.348,1.522,-0.715,-0.955,-0.686,-0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308641666667,0.273008333333,-2.20670833333,0.869088888889,5.39057083333,3.10885138889,-0.283733333333,0.852568055556,1.32630833333,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.56819002228e-15,-7.32053306862e-16,3.64291929955e-16,-3.29597460436e-16,-9.76649316975e-16,-7.6327832943e-17,-1.04083408559e-16,-9.12464548364e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66533453694e-16,1.38777878078e-16,0.0,0.0,-1.35134958779e-15,-3.05311331772e-16,-2.22044604925e-16,-3.60822483003e-16,3.33066907388e-16,-1.11022302463e-15,-1.55431223448e-15,-5.55111512313e-17
2010-09-23,220.0,90.0,17.9,12.1,205.0,7.8,5.8,,,,,,1.212,1.414,,,-1.175,-1.417,-1.407,-1.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0500666666667,-0.0816541666667,-2.21206111111,0.8247,5.37850694444,3.08227638889,-0.307080555556,0.852165277778,1.29130555556,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.56819002228e-15,-7.32053306862e-16,3.64291929955e-16,-3.29597460436e-16,-9.76649316975e-16,-7.6327832943e-17,-1.04083408559e-16,-9.12464548364e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66533453694e-16,1.38777878078e-16,0.0,0.0,-1.35134958779e-15,-3.05311331772e-16,-2.22044604925e-16,-3.60822483003e-16,3.33066907388e-16,-1.11022302463e-15,-1.55431223448e-15,-5.55111512313e-17
2010-09-24,210.0,190.0,21.9,15.0,221.0,13.2,8.3,,,,,,1.211,1.352,1.677,1.857,-0.804,-1.083,-1.24,-1.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235841666667,0.190791666667,-2.20752083333,0.802611111111,5.35860972222,3.09681111111,-0.342584722222,0.852506944444,1.28617916667,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.56819002228e-15,-7.32053306862e-16,3.64291929955e-16,-3.29597460436e-16,-9.76649316975e-16,-7.6327832943e-17,-1.04083408559e-16,-9.12464548364e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66533453694e-16,1.38777878078e-16,0.0,0.0,-1.35134958779e-15,-3.05311331772e-16,-2.22044604925e-16,-3.60822483003e-16,3.33066907388e-16,-1.11022302463e-15,-1.55431223448e-15,-5.55111512313e-17
